Name,Park,Location,Opening Date,Length,Height,Drop,Speed,Inversions,Vertical Angle,Duration,RCDB Link
"Roller Coaster","Kiddieland","Pittsburg, Kansas, USA",1960s,,,,,0,,,https://rcdb.com/9273.htm
"Slope Shooter","Higashiyama Zoo and Botanical Gardens","Chikusa, Nagoya, Aichi, Japan",1961,,,,,0,,1:45,https://rcdb.com/2521.htm
"Cyclone","Toshimaen","Mukouyama, Nerima, Tokyo, Japan",8/5/1965,2696.8,59.1,,40.7,0,45,2:15,https://rcdb.com/1206.htm
"Runaway Mine Train","Six Flags Over Texas","Arlington, Texas, USA",8/1966,2485,35,,,0,,3:00,https://rcdb.com/30.htm
"Dahlonega Mine Train","Six Flags Over Georgia","Austell, Georgia, USA",1967,2327,37,,29,0,45,2:51,https://rcdb.com/42.htm
"Marche du Mille-pattes","La Ronde","Montréal, Québec, Canada",1967,,,,,0,,,https://rcdb.com/191.htm
"Cyclone","Wonderland Amusement Park","Amarillo, Texas, USA",1968,,,,,0,,,https://rcdb.com/256.htm
"Jet Coaster","Benyland","Sendai, Miyagi, Japan",4/14/1968,,,,,0,,1:25,https://rcdb.com/1717.htm
"Mini Mine Train","Six Flags Over Texas","Arlington, Texas, USA",1969,910,20,,,0,,1:10,https://rcdb.com/97.htm
"Cedar Creek Mine Ride","Cedar Point","Sandusky, Ohio, USA",5/24/1969,2540,48,,42,0,,2:42,https://rcdb.com/18.htm
"Little Dipper","Sandy Lake Amusement Park","Carrollton, Texas, USA",1971,280,12,,,0,,,https://rcdb.com/372.htm
"Magic Flyer","Six Flags Magic Mountain","Valencia, California, USA",1971,350,10,,10,0,,,https://rcdb.com/749.htm
"Mad Mouse","Miyazaki City Phoenix Zoo","Miyazaki, Miyazaki, Japan",3/11/1971,,,,,0,,,https://rcdb.com/2681.htm
"Gold Rusher","Six Flags Magic Mountain","Valencia, California, USA",5/29/1971,2590,70,,35,0,,2:30,https://rcdb.com/266.htm
"River King Mine Train","Six Flags St. Louis","Eureka, Missouri, USA",6/1971,2500,32,41,37,0,,3:00,https://rcdb.com/125.htm
"Roller Coaster","Fun Town at Micke Grove","Lodi, California, USA",1972,,,,,0,,,https://rcdb.com/395.htm
"Fire In The Hole","Silver Dollar City","Branson, Missouri, USA",1972,,,,,0,,,https://rcdb.com/1455.htm
"Jet Coaster","Rakutenchi","Beppu, Ōita, Japan",3/30/1972,1476.4,49.3,,31.1,0,,2:20,https://rcdb.com/2065.htm
"Montaña Rusa","Tivoli World","Arroyo de la Miel, Málaga, Spain",5/2/1972,,,,,0,,,https://rcdb.com/1556.htm
"Montaña Rusa Infantil","Tivoli World","Arroyo de la Miel, Málaga, Spain",5/2/1972,,,,,0,,,https://rcdb.com/1876.htm
"Carolina Goldrusher","Carowinds","Charlotte, North Carolina, USA",1973,2397,,,,0,,2:17,https://rcdb.com/83.htm
"Moncayo","Parque de Atracciones de Zaragoza","Zaragoza, Zaragoza, Spain",1974,,,,,0,,,https://rcdb.com/2323.htm
"Trailblazer","Hersheypark","Hershey, Pennsylvania, USA",5/18/1974,,,,,0,,,https://rcdb.com/107.htm
"Runaway Mine Train","Six Flags Great Adventure","Jackson, New Jersey, USA",7/4/1974,,60,39,38,0,,2:00,https://rcdb.com/131.htm
"Mouse Trap","Wonderland Amusement Park","Amarillo, Texas, USA",1975,,,,,0,,,https://rcdb.com/255.htm
"Mariehønen","Brændesgårdshaven","Svaneke, Hovedstaden, Denmark",1975,,,,,0,,,https://rcdb.com/1915.htm
"Space Mountain","Walt Disney World - Magic Kingdom","Lake Buena Vista, Florida, USA",1/15/1975,3196,90,,27,00,,2:352,https://rcdb.com/267.htm
"Whizzer","Six Flags Great America","Gurnee, Illinois, USA",1976,3100,70,64,42,0,,2:00,https://rcdb.com/113.htm
"Jet Star 2","Lagoon","Farmington, Utah, USA",1976,1919.3,44.3,,,0,,,https://rcdb.com/198.htm
"Mad Mouse","Joyland Amusement Park","Lubbock, Texas, USA",1976,,,,,0,,,https://rcdb.com/312.htm
"Viktor's Race","Plopsaland De Panne","Adinkerke-De Panne, West-Vlaanderen, Belgium",1976,1181.1,26.3,,22.4,0,,,https://rcdb.com/1006.htm
"Nyckelpigan","Gröna Lund","Stockholm, Stockholm, Sweden",1976,197.5,10.8,,16.2,0,,,https://rcdb.com/1063.htm
"Valle degli Gnomi","Fiabilandia","Rimini, Emilia-Romagna, Italy",1976,,,,,0,,,https://rcdb.com/1756.htm
"New Revolution","Six Flags Magic Mountain","Valencia, California, USA",5/8/1976,3457,113,,55,1,,2:12,https://rcdb.com/130.htm
"Corkscrew","Cedar Point","Sandusky, Ohio, USA",5/15/1976,2050,85,,48,3,,2:00,https://rcdb.com/13.htm
"Demon","California's Great America","Santa Clara, California, USA",5/20/1976,2130,102,90,50,4,54,1:45,https://rcdb.com/76.htm
"Demon","Six Flags Great America","Gurnee, Illinois, USA",5/29/1976,2130,103.7,90,50,4,54,1:45,https://rcdb.com/3.htm
"Galaxi","Cliff's Amusement Park","Albuquerque, New Mexico, USA",1977,,,,,0,,,https://rcdb.com/392.htm
"Steeplechase","Blackpool Pleasure Beach","Blackpool, Lancashire, England, United Kingdom",1977,,,,,00,,,https://rcdb.com/795.htm
"Masken","Parken Zoo","Eskilstuna, Södermanland, Sweden",1977,,,,,0,,,https://rcdb.com/1546.htm
"Kwansong Yolcha","Taesongsan Funfair","Pyongyang, North Korea",1977,,,,,0,,,https://rcdb.com/3692.htm
"Kwansong Tancha","Taesongsan Funfair","Pyongyang, North Korea",1977,,,,,0,,,https://rcdb.com/3693.htm
"Sooperdooperlooper","Hersheypark","Hershey, Pennsylvania, USA",5/8/1977,2614,,75,,1,,1:45,https://rcdb.com/108.htm
"Loch Ness Monster","Busch Gardens Williamsburg","Williamsburg, Virginia, USA",1978,3240,130,114.2,60,2,55,2:10,https://rcdb.com/110.htm
"Mind Bender","Six Flags Over Georgia","Austell, Georgia, USA",3/31/1978,3253,80,,50,2,,2:33,https://rcdb.com/37.htm
"Shock Wave","Six Flags Over Texas","Arlington, Texas, USA",4/22/1978,3600,116,,60,2,,2:00,https://rcdb.com/28.htm
"Montezooma's Revenge","Knott's Berry Farm","Buena Park, California, USA",5/21/1978,800,148,,55,1,,0:36,https://rcdb.com/292.htm
"Gemini","Cedar Point","Sandusky, Ohio, USA",6/1978,3935,125.3,118,60,00,55,2:202,https://rcdb.com/14.htm
"Blazing Fury","Dollywood","Pigeon Forge, Tennessee, USA",6/6/1978,1520,22,,22,0,,,https://rcdb.com/501.htm
"Wilderness Run","Cedar Point","Sandusky, Ohio, USA",1979,443,19,,6,0,,0:50,https://rcdb.com/15.htm
"Lady Bug Coaster","Marineland Theme Park","Niagara Falls, Ontario, Canada",1979,197.5,10.8,,16.2,0,,0:40,https://rcdb.com/192.htm
"Big Thunder Mountain Railroad","Disneyland","Anaheim, California, USA",1979,2671,,,28,0,,,https://rcdb.com/202.htm
"Corkscrew","Michigan's Adventure","Muskegon, Michigan, USA",1979,1250,70,,45,2,,,https://rcdb.com/218.htm
"Revolution","Blackpool Pleasure Beach","Blackpool, Lancashire, England, United Kingdom",1979,635,56,47,45,1,,1:06,https://rcdb.com/788.htm
"Marienkäferbahn","Zoo Safaripark Stukenbrock","Stukenbrock, North Rhine-Westphalia, Germany",1979,1181.1,26.3,,22.4,0,,,https://rcdb.com/999.htm
"Momonga Standing and Loop Coaster","Yomiuriland","Inagi, Tokyo, Japan",1979,,82,,,1,,1:10,https://rcdb.com/1219.htm
"Cork Screw","Benyland","Sendai, Miyagi, Japan",1979,1200,70,,,2,,1:26,https://rcdb.com/1715.htm
"Corkscrew","Toshimaen","Mukouyama, Nerima, Tokyo, Japan",7/7/1979,1256.6,68.9,,39.2,2,42.5,1:24,https://rcdb.com/1204.htm
"Corkscrew","Valleyfair!","Shakopee, Minnesota, USA",1980,1950,85,,50,3,,1:30,https://rcdb.com/118.htm
"Achtbaan","Amusementspark Tivoli","Berg en Dal, Gelderland, Netherlands",1980,652.9,19.7,,19.9,0,,1:36,https://rcdb.com/934.htm
"Racing","Bakken","Klampenborg, Sjælland, Denmark",1980s,,,,,0,,1:00,https://rcdb.com/1056.htm
"Shuttle Loop","Nagashima Spa Land","Nagashima, Kuwana, Mie, Japan",1980,863,137.8,,57,1,70,0:30,https://rcdb.com/1177.htm
"Jet Coaster","Higashiyama Zoo and Botanical Gardens","Chikusa, Nagoya, Aichi, Japan",1980,,,,,0,,1:45,https://rcdb.com/1706.htm
"Super Camel Coaster","Tedori Fish Land","Terai, Ishikawa, Japan",1980,3280.8,,,,0,,,https://rcdb.com/1734.htm
"Super Train Tokaido","Tivoli World","Arroyo de la Miel, Málaga, Spain",1980s,639.8,23,,24.9,0,,,https://rcdb.com/1866.htm
"Galaxi","Ankara Luna Park","Ankara, Ankara, Turkey",1980s,,,,,0,,,https://rcdb.com/3186.htm
"Carolina Cyclone","Carowinds","Charlotte, North Carolina, USA",3/1980,2100,95,65,41,4,,1:30,https://rcdb.com/81.htm
"Nessie Superrollercoaster","Hansa Park","Sierksdorf, Schleswig-Holstein, Germany",4/1980,2431.1,85.3,,49.1,1,,2:10,https://rcdb.com/981.htm
"Scorpion","Busch Gardens Tampa","Tampa, Florida, USA",5/16/1980,1817.6,60.7,,41,1,,1:30,https://rcdb.com/95.htm
"Big Thunder Mountain Railroad","Walt Disney World - Magic Kingdom","Lake Buena Vista, Florida, USA",11/15/1980,2780,,,36,0,,3:30,https://rcdb.com/273.htm
"Dragon Fire","Canada's Wonderland","Vaughan, Ontario, Canada",1981,2160,78,76,50,4,,1:30,https://rcdb.com/58.htm
"Super Manège","La Ronde","Montréal, Québec, Canada",1981,2400,75,68,40,2,,,https://rcdb.com/188.htm
"Tsunami","Six Flags Mexico","Mexico City, Mexico",1981,1181.1,26.3,,22.4,0,,,https://rcdb.com/358.htm
"Hoot N Holler","Darien Lake","Darien Center, New York, USA",1981,197.5,10.8,,16.2,0,,,https://rcdb.com/751.htm
"Keverbaan","Bellewaerde","Ieper, West-Vlaanderen, Belgium",1981,1181.1,26.3,,22.4,0,,,https://rcdb.com/927.htm
"Flying Tiger","Zoo Safaripark Stukenbrock","Stukenbrock, North Rhine-Westphalia, Germany",1981,1148.3,64,,37.3,2,,,https://rcdb.com/998.htm
"Dragon Chase","Gwangju Family Land","Gwangju Metropolitan City, South Korea",1981,,,,,3,,,https://rcdb.com/1401.htm
"Atomic Mouse","Gwangju Family Land","Gwangju Metropolitan City, South Korea",1981,,,,,0,,,https://rcdb.com/1402.htm
"Green Snake","De Valkenier","Valkenburg, Limburg, Netherlands",1981,1181.1,26.3,,22.4,0,,,https://rcdb.com/1479.htm
"Jet Coaster","Hachinohe Park","Hachinohe, Aomori, Japan",1981 - 2003,,,,,0,,1:00,https://rcdb.com/1800.htm
"Mariehønen","Bakken","Klampenborg, Sjælland, Denmark",1981,197.5,10.8,,16.2,0,,,https://rcdb.com/2225.htm
"Python","Efteling","Kaatsheuvel, North Brabant, Netherlands",4/12/1981,2460,95,,46.6,4,,2:08,https://rcdb.com/897.htm
"Pop Spin Coaster","Iwayama Park Land","Morioka, Iwate, Japan",7/13/1981,1404.2,,,34.5,0,,,https://rcdb.com/3550.htm
